Label.Bakker,SAMN,Label.SRA,year,collect,plot,CO2,plant,tissue,biol
FACE101,SAMN11840383,SRR9124687,Y17,2017-07-24,Y17_Plot5,Elevated,Y17_Plot5_03,spike,FACE
FACE100,SAMN11840382,SRR9124688,Y17,2017-07-24,Y17_Plot5,Elevated,Y17_Plot5_02,leaf,FACE
FACE130,SAMN11840412,SRR9124689,Y17,2017-07-31,Y17_Plot6,Ambient,Y17_Plot6_05,leaf,FACE
FACE131,SAMN11840413,SRR9124690,Y17,2017-07-31,Y17_Plot6,Ambient,Y17_Plot6_06,spike,FACE
FACE106,SAMN11840388,SRR9124691,Y17,2017-07-31,Y17_Plot5,Elevated,Y17_Plot5_05,leaf,FACE
FACE162,SAMN11840492,SRR9124692,Y18,2018-07-10,Y18_Plot5,Elevated,Y18_Plot5_01,spike,FACE
FACE163,SAMN11840493,SRR9124693,Y18,2018-07-10,Y18_Plot5,Elevated,Y18_Plot5_02,leaf,FACE
FACE254,SAMN11840488,SRR9124694,Y18,2018-07-31,Y18_Plot4,Ambient,Y18_Plot4_07,spike,FACE
FACE255,SAMN11840489,SRR9124695,Y18,2018-07-31,Y18_Plot4,Ambient,Y18_Plot4_08,leaf,FACE
FACE256,SAMN11840490,SRR9124696,Y18,2018-07-31,Y18_Plot4,Ambient,Y18_Plot4_08,leaf,FACE
FACE161,SAMN11840491,SRR9124697,Y18,2018-07-10,Y18_Plot5,Elevated,Y18_Plot5_01,spike,FACE
FACE222,SAMN11840484,SRR9124698,Y18,2018-07-24,Y18_Plot4,Ambient,Y18_Plot4_05,spike,FACE
FACE223,SAMN11840485,SRR9124699,Y18,2018-07-24,Y18_Plot4,Ambient,Y18_Plot4_06,leaf,FACE
FACE224,SAMN11840486,SRR9124700,Y18,2018-07-24,Y18_Plot4,Ambient,Y18_Plot4_06,leaf,FACE
FACE253,SAMN11840487,SRR9124701,Y18,2018-07-31,Y18_Plot4,Ambient,Y18_Plot4_07,spike,FACE
FACE019,SAMN11840308,SRR9124702,Y17,2017-08-07,Y17_Plot1,Ambient,Y17_Plot1_10,spike,FACE
FACE020,SAMN11840309,SRR9124703,Y17,2017-08-07,Y17_Plot1,Ambient,Y17_Plot1_10,leaf,FACE
FACE021,SAMN11840310,SRR9124704,Y17,2017-08-07,Y17_Plot1,Ambient,Y17_Plot1_11,spike,FACE
FACE023,SAMN11840311,SRR9124705,Y17,2017-08-07,Y17_Plot1,Ambient,Y17_Plot1_12,spike,FACE
FACE015,SAMN11840304,SRR9124706,Y17,2017-07-31,Y17_Plot1,Ambient,Y17_Plot1_08,spike,FACE
FACE016,SAMN11840305,SRR9124707,Y17,2017-07-31,Y17_Plot1,Ambient,Y17_Plot1_08,leaf,FACE
FACE017,SAMN11840306,SRR9124708,Y17,2017-08-07,Y17_Plot1,Ambient,Y17_Plot1_09,spike,FACE
FACE018,SAMN11840307,SRR9124709,Y17,2017-08-07,Y17_Plot1,Ambient,Y17_Plot1_09,leaf,FACE
FACE025,SAMN11840312,SRR9124710,Y17,2017-07-24,Y17_Plot2,Elevated,Y17_Plot2_01,spike,FACE
FACE026,SAMN11840313,SRR9124711,Y17,2017-07-24,Y17_Plot2,Elevated,Y17_Plot2_01,leaf,FACE
FACE230,SAMN11840516,SRR9124712,Y18,2018-07-24,Y18_Plot6,Ambient,Y18_Plot6_05,spike,FACE
