"Lib_Name" "Version"
"1" phyloseq 1.36.0
"2" dada2 1.20.0
"3" Rcpp 1.0.7
"4" car 3.0.11
"5" carData 3.0.4
"6" reshape2 1.4.4
"7" lme4 1.1.27.1
"8" Matrix 1.3.4
"9" dplyr 1.0.7
"10" ggplot2 3.3.5
"11" stats 4.1.1
"12" graphics 4.1.1
"13" grDevices 4.1.1
"14" utils 4.1.1
"15" datasets 4.1.1
"16" methods 4.1.1
"17" base 4.1.1
